symbol,bid,ask,24h volume($),status
WLDBTC,0.00004987,0.00004996,32.18,Trading
QNTBTC,0.00288700,0.00288800,31.97,Trading
MANAETH,0.00019300,0.00019310,31.79,Trading
SCETH,0.00000178,0.00000180,31.13,Trading
EOSBTC,0.00001742,0.00001743,29.75,Trading
AGIXBTC,0.00000587,0.00000589,29.69,Trading
BELBNB,0.00255800,0.00259500,29.31,Trading
KAVABNB,0.00275500,0.00278000,28.93,Trading
SANDBTC,0.00000955,0.00000956,28.55,Trading
DENTETH,0.00000039,0.00000040,28.32,Trading
ALGOETH,0.00005580,0.00005590,28.29,Trading
MTLBTC,0.00004102,0.00004119,27.07,Trading
MANABTC,0.00001013,0.00001014,26.57,Trading
RNDRBTC,0.00006120,0.00006130,26.41,Trading
STEEMBTC,0.00000758,0.00000760,26.40,Trading
POWRBTC,0.00000918,0.00000921,26.27,Trading
ROSEETH,0.00002652,0.00002665,25.54,Trading
ZECETH,0.01538000,0.01542000,25.06,Trading
EOSETH,0.00033120,0.00033200,24.94,Trading
NEOBTC,0.00022740,0.00022760,24.65,Trading
SNXETH,0.00126700,0.00126800,24.34,Trading
PAXGBTC,0.05804000,0.05813000,24.02,Trading
CHRETH,0.00005730,0.00005750,23.88,Trading
SFPBTC,0.00002134,0.00002143,23.52,Trading
DASHETH,0.01568000,0.01571000,23.38,Trading
CRVETH,0.00026700,0.00026900,23.21,Trading
FUNETH,0.00000255,0.00000256,22.82,Trading
MAGICBTC,0.00001602,0.00001603,21.55,Trading
ENJETH,0.00013200,0.00013240,21.30,Trading
UNFIBTC,0.00024630,0.00024720,20.83,Trading
AXSBTC,0.00013630,0.00013650,20.78,Trading
IOTAETH,0.00008510,0.00008550,20.20,Trading
MKRBTC,0.04380000,0.04386000,20.17,Trading
HBARBTC,0.00000151,0.00000152,19.95,Trading
DGBBTC,0.00000020,0.00000021,19.69,Trading
ALGOBTC,0.00000293,0.00000294,19.65,Trading
PIVXBTC,0.00000614,0.00000615,19.25,Trading
NEXOBTC,0.00001782,0.00001786,19.17,Trading
SSVETH,0.00786700,0.00789700,17.89,Trading
UFTETH,0.00014100,0.00014200,17.69,Trading
IOSTETH,0.00000446,0.00000447,16.92,Trading
ZENETH,0.00496800,0.00497700,16.81,Trading
ARDRBTC,0.00000237,0.00000238,16.66,Trading
ZILBTC,0.00000053,0.00000054,16.65,Trading
CHZBTC,0.00000193,0.00000194,16.13,Trading
